mean_abs_fbme_d1_cgm,strategy,t
56.38021884633848,dynamic_gen,7736
42.72513824507024,dynamic_gen,7737
30.65174995945713,dynamic_gen,7738
19.96076714514809,dynamic_gen,7739
11.887820069719922,dynamic_gen,7740
9.657091693093262,dynamic_gen,7741
63.93343317945616,dynamic_gen,7742
78.49643715302932,dynamic_gen,7743
47.80742464917991,dynamic_gen,7744
13.554686758009804,dynamic_gen,7745
6.434430101470383,dynamic_gen,7746
2.9970433597399353,dynamic_gen,7747
0.3675648224716518,dynamic_gen,7748
6.565725276712026e-13,dynamic_gen,7749
1.2310176859728037e-12,dynamic_gen,7750
9.135966221308963e-13,dynamic_gen,7751
1.7879186286172553e-12,dynamic_gen,7752
1.6754957412485398e-12,dynamic_gen,7753
8.089508249379226e-13,dynamic_gen,7754
1.466203147375878e-12,dynamic_gen,7755
6.046262812722384e-13,dynamic_gen,7756
5.90393970998919e-13,dynamic_gen,7757
4.920343168994881e-12,dynamic_gen,7758
85.99857409919943,dynamic_gen,7759
88.28263325434354,dynamic_gen,7760
76.75557660227706,dynamic_gen,7761
58.49266693042968,dynamic_gen,7762
37.31153220828325,dynamic_gen,7763
32.617884581823375,dynamic_gen,7764
25.20535589794512,dynamic_gen,7765
27.454952665983974,dynamic_gen,7766
23.62654870288653,dynamic_gen,7767
25.510123236770294,dynamic_gen,7768
26.87547583916106,dynamic_gen,7769
31.972409493466905,dynamic_gen,7770
27.413174602957106,dynamic_gen,7771
25.06909888093077,dynamic_gen,7772
19.046042387629946,dynamic_gen,7773
32.376136293081125,dynamic_gen,7774
3.9895297171246106e-13,dynamic_gen,7775
1.4207923900851694e-12,dynamic_gen,7776
7.965703243990868e-12,dynamic_gen,7777
2.216515355473371e-11,dynamic_gen,7778
2.890888762328533e-11,dynamic_gen,7779
3.2007909960683164e-13,dynamic_gen,7780
2.124090977892117e-13,dynamic_gen,7781
8.926818431885453,dynamic_gen,7782
10.925199760176532,dynamic_gen,7783
7.992117206451904,dynamic_gen,7784
31.5932071977956,dynamic_gen,7785
41.82974531525826,dynamic_gen,7786
24.394966255683478,dynamic_gen,7787
