t,d2_objective,d1_mc_objective,n_total_candidates,n_initial_active,n_final_active,n_binding_final,n_screening_iterations
7135,2394551.9998925496,2394552.0001925495,17627,65,65,0,1
7136,2418706.7113027684,2418706.7116027693,17627,65,65,0,1
7137,2320271.3608430657,2320271.3611430656,17627,65,65,0,1
7138,2231908.6157948896,2231908.616094889,17627,65,65,0,1
7139,2165082.7945981324,2165232.5529091493,17627,65,67,2,2
7140,2080829.5088038936,2080914.606584063,17627,65,67,2,2
7141,2113501.5809721537,2113533.9061842063,17627,65,67,2,2
7142,2142503.624785293,2142507.566974715,17627,65,67,2,2
7143,2221503.0763798654,2221503.076679866,17627,65,65,0,1
7144,2292582.7260389635,2292582.7263389635,17627,65,65,0,1
7145,2431407.0256233094,2431407.0259233126,17627,65,65,0,1
7146,2621213.460445126,2621213.4607451246,17627,65,65,0,1
7147,2690028.90129973,2690028.901599729,17627,65,65,0,1
7148,2503090.4988330114,2503090.499133012,17627,65,65,0,1
7149,2315128.2628802205,2315128.263180221,17627,65,65,0,1
7150,2097467.634360977,2097467.634660977,17627,65,65,0,1
7151,1830447.9089863016,1830447.9092863011,17627,65,65,0,1
7152,1636704.0363548747,1636704.0366548742,17627,65,65,0,1
7153,1566513.3663197733,1566513.366619773,17627,65,65,0,1
7154,1539753.1589606698,1539753.1592606697,17627,65,65,0,1
7155,1569205.9167814865,1569205.9170814862,17627,65,65,0,1
7156,1625346.2471731459,1625346.2474731458,17627,65,65,0,1
7157,1786854.3802318568,1786854.3805318563,17627,65,65,0,1
7158,2156822.6701667393,2156822.670466739,17627,65,65,0,1
7159,2482088.8717145403,2482088.8720145435,17627,65,65,0,1
7160,2488329.4325865214,2488329.432886528,17627,65,65,0,1
7161,2296634.188856943,2296801.4946062327,17627,65,67,2,2
7162,2173808.054357654,2174400.6955541777,17627,65,69,2,2
7163,2096884.5142147331,2107825.4135278356,17627,65,71,3,3
7164,2026446.2060086643,2043900.8213868933,17627,65,71,3,2
7165,1952753.3270055675,1971101.8937159192,17627,65,71,3,2
7166,1915466.597918699,1930567.3408574911,17627,65,70,3,2
7167,2071756.027937213,2073124.150132613,17627,65,70,3,3
7168,2245971.1579490295,2246077.556078034,17627,65,67,2,2
7169,2354342.6384463627,2354342.6387463626,17627,65,65,0,1
7170,2413086.0930759953,2413086.093375995,17627,65,65,0,1
7171,2435536.912444155,2435536.912744155,17627,65,65,0,1
7172,2241215.7780803805,2241215.7783803805,17627,65,65,0,1
7173,2088812.5373085234,2088812.537608524,17627,65,65,0,1
7174,1940974.0647123756,1940974.0650123758,17627,65,65,0,1
7175,1750601.409156279,1750601.409456279,17627,65,65,0,1
7176,1570322.1781420608,1570322.1783730136,17627,65,65,0,1
7177,1488748.8164500543,1488748.8166715426,17627,65,65,0,1
7178,1415088.9456659118,1415088.9459354847,17627,65,65,0,1
7179,1453347.718592517,1453347.718831736,17627,65,65,0,1
7180,1504895.967178062,1504895.9673844255,17627,65,65,0,1
7181,1632125.5223269397,1632125.5226269397,17627,65,65,0,1
7182,2060806.9235281805,2060806.9238281804,17627,65,65,0,1
7183,2378917.8524437207,2378917.852743721,17627,65,65,0,1
7184,2375076.0921539804,2375076.0924539804,17627,65,65,0,1
7185,2190711.854614333,2190967.8629186996,17627,65,69,2,2
7186,2108153.274045335,2110612.6921765152,17627,65,70,3,3
7187,1989683.1273638734,2002359.958138601,17627,65,70,3,2
7188,1994939.0896357894,2004436.1407160028,17627,65,70,3,3
7189,2099460.9691450326,2100232.5757144224,17627,65,69,2,2
7190,2164870.140414729,2165223.0071629756,17627,65,69,2,2
7191,2272941.8226048807,2273101.691480262,17627,65,67,2,2
7192,2259258.8084161086,2259263.7084806073,17627,65,67,2,2
7193,2289061.2980789645,2289061.2983789644,17627,65,65,0,1
7194,2327904.4452159028,2327904.4455159027,17627,65,65,0,1
7195,2265074.9982901867,2265074.9985901867,17627,65,65,0,1
7196,2084509.8154335516,2084514.2787033573,17627,65,67,2,2
7197,1999921.628265888,1999921.628565887,17627,65,65,0,1
7198,1856966.535465851,1856966.535765851,17627,65,65,0,1
7199,1668049.7208155477,1668049.7211155477,17627,65,65,0,1
7200,1503099.0898087826,1503099.0900283263,17627,65,65,0,1
7201,1435104.7679060558,1435104.768132263,17627,65,65,0,1
7202,1380189.7967387002,1380189.7970079817,17627,65,65,0,1
7203,1311504.1856454897,1311504.185945496,17627,65,65,0,1
7204,1282693.1043407344,1282693.1046407372,17627,65,65,0,1
7205,1267979.619181914,1267979.6194819103,17627,65,65,0,1
7206,1292485.379448596,1292485.379748584,17627,65,65,0,1
7207,1444180.9424661063,1444180.942695872,17627,65,65,0,1
7208,1606586.176324749,1606586.1766164873,17627,65,65,0,1
7209,1636900.3508886728,1636900.3511886727,17627,65,65,0,1
7210,1611944.5802613804,1611944.5805437225,17627,65,65,0,1
7211,1498796.646775085,1498796.6469818272,17627,65,65,0,1
7212,1433606.8591495904,1433606.8593760272,17627,65,65,0,1
7213,1360201.263341186,1360201.2636223584,17627,65,65,0,1
7214,1344369.7198425406,1344369.7201425433,17627,65,65,0,1
7215,1408400.2686229073,1408400.2688521517,17627,65,65,0,1
7216,1506188.2465406097,1506188.2467920154,17627,65,65,0,1
7217,1692596.952624023,1692596.952924023,17627,65,65,0,1
7218,1881876.7300378839,1881876.730337884,17627,65,65,0,1
7219,1908449.9872740344,1908449.9875740353,17627,65,65,0,1
7220,1773845.253310051,1773845.2536100515,17627,65,65,0,1
7221,1651756.840542485,1651756.840842485,17627,65,65,0,1
7222,1607060.3198856185,1607060.3201856185,17627,65,65,0,1
7223,1453802.9876686952,1453802.987968695,17627,65,65,0,1
7224,1194867.3013871685,1194867.3016532187,17627,65,65,0,1
7225,1236820.714492559,1236820.7147175397,17627,65,65,0,1
7226,1230145.6429165902,1230145.643141823,17627,65,65,0,1
7227,1215092.2645978103,1215092.2648307427,17627,65,65,0,1
7228,1204811.6227166909,1204811.622953733,17627,65,65,0,1
7229,1193977.9946580473,1193977.9948972114,17627,65,65,0,1
7230,1194542.4794535579,1194542.4796866884,17627,65,65,0,1
7231,1290061.0405231002,1290061.0407679814,17627,65,65,0,1
7232,1340368.515288886,1340368.5155408639,17627,65,65,0,1
7233,1233693.7577772788,1233905.1802680956,17627,65,66,1,2
7234,1175288.1565683489,1178298.4328875712,17627,65,68,3,3
7235,1177440.068445253,1181960.6733166422,17627,65,68,3,3
7236,1204946.3954623921,1206647.2754607282,17627,65,68,3,3
7237,1148446.2700979619,1150158.418683337,17627,65,66,1,2
7238,1164463.5382353272,1166084.6476100662,17627,65,66,1,2
7239,1322641.7993194156,1322716.1691520966,17627,65,66,1,2
7240,1542005.8215048658,1542005.821798143,17627,65,65,0,1
7241,1920048.551388179,1920048.5516881794,17627,65,65,0,1
7242,2037885.5040386734,2037885.504338673,17627,65,65,0,1
7243,1966323.600805468,1966323.6011054679,17627,65,65,0,1
7244,1874728.7399363997,1874728.7402363992,17627,65,65,0,1
7245,1812199.1255766025,1812199.1258766023,17627,65,65,0,1
7246,1730384.5738567235,1730384.574156723,17627,65,65,0,1
7247,1498274.0773701714,1498274.0776701714,17627,65,65,0,1
7248,1381988.1998522938,1381988.2000741165,17627,65,65,0,1
7249,1353629.6341466988,1353629.6343474784,17627,65,65,0,1
7250,1323985.98654928,1323985.9867787668,17627,65,65,0,1
7251,1312009.1410616755,1312009.141311736,17627,65,65,0,1
7252,1337782.6918165425,1337782.692054011,17627,65,65,0,1
7253,1493059.467890014,1493059.468163131,17627,65,65,0,1
7254,1976698.4526108808,1976698.4529108806,17627,65,65,0,1
7255,2218604.6827487266,2218604.6830487265,17627,65,65,0,1
7256,2193817.1834590933,2193817.1837590933,17627,65,65,0,1
7257,2072817.861845867,2072896.6229673363,17627,65,67,2,2
7258,2016335.43458638,2016551.202464317,17627,65,67,2,2
7259,2025928.1849164204,2026513.2846103883,17627,65,69,2,2
7260,2043028.2594300625,2044494.0326710274,17627,65,70,3,3
7261,2070590.7555642114,2071170.738269566,17627,65,69,2,2
7262,2164308.641255088,2164666.8118713717,17627,65,67,2,2
7263,2258327.8631208893,2258327.8634208892,17627,65,65,0,1
7264,2284930.1039617695,2284930.1042617704,17627,65,65,0,1
7265,2455138.2558301664,2455138.256130167,17627,65,65,0,1
7266,2421427.589007284,2421427.589307293,17627,65,65,0,1
7267,2247695.3610140346,2247695.3613140346,17627,65,65,0,1
7268,2021393.527120409,2021393.5274204093,17627,65,65,0,1
7269,1854331.7474047644,1854331.7477047648,17627,65,65,0,1
7270,1699014.8112797444,1699014.8115797443,17627,65,65,0,1
7271,1449418.668286996,1449418.668522833,17627,65,65,0,1
7272,1319308.390039129,1319308.3902864808,17627,65,65,0,1
7273,1257802.4624426693,1257802.4627182384,17627,65,65,0,1
7274,1229303.3770796019,1229303.3773593835,17627,65,65,0,1
7275,1260690.9355393979,1260690.9357785762,17627,65,65,0,1
7276,1276963.0554253273,1276963.0556377831,17627,65,65,0,1
7277,1417550.6631096844,1417550.6634096436,17627,65,65,0,1
7278,1826524.7873257995,1826524.787625799,17627,65,65,0,1
7279,2109359.7431596513,2109359.743459651,17627,65,65,0,1
7280,2151534.1081930925,2151534.1084930925,17627,65,65,0,1
7281,1944190.9998815325,1944577.7304148618,17627,65,69,2,2
7282,1774045.8633021056,1777279.7662597133,17627,65,70,3,3
